timestamp,group_id,group_voltage,connect_state,cell_id,cell_voltage,cell_current,cell_temperature,cell_status
2024-12-14 04:15:03,1,11.96443,1,1,3.97726,0,27.34375,0
2024-12-14 04:15:03,1,11.96443,1,2,4.075195,0,27.34375,0
2024-12-14 04:15:03,1,11.96443,1,3,3.91197,0,27.34375,0
2024-12-14 04:15:03,2,0,0,1,0,0,95.21484,3
2024-12-14 04:15:03,2,0,0,2,0,0,95.21484,3
2024-12-14 04:15:03,2,0,0,3,0,0,95.21484,3
2024-12-14 04:15:03,3,0,0,1,0,0,57.12891,3
2024-12-14 04:15:03,3,0,0,2,0,0,57.12891,3
2024-12-14 04:15:03,3,0,0,3,0,0,57.12891,3
2024-12-14 04:15:05,1,11.98075,1,1,3.982701,0,27.83203,0
2024-12-14 04:15:05,1,11.98075,1,2,4.080637,0,27.83203,0
2024-12-14 04:15:05,1,11.98075,1,3,3.91741,0,27.83203,0
2024-12-14 04:15:05,2,0,0,1,0,0,96.67969,3
2024-12-14 04:15:05,2,0,0,2,0,0,96.67969,3
2024-12-14 04:15:05,2,0,0,3,0,0,96.67969,3
2024-12-14 04:15:05,3,0,0,1,0,0,65.91797,3
2024-12-14 04:15:05,3,0,0,2,0,0,65.91797,3
2024-12-14 04:15:05,3,0,0,3,0,0,65.91797,3
2024-12-14 04:15:06,1,11.96443,1,1,3.97726,0,27.34375,0
2024-12-14 04:15:06,1,11.96443,1,2,4.075195,0,27.34375,0
2024-12-14 04:15:06,1,11.96443,1,3,3.91197,0,27.34375,0
2024-12-14 04:15:06,2,0,0,1,0,0,95.70313,3
2024-12-14 04:15:06,2,0,0,2,0,0,95.70313,3
2024-12-14 04:15:06,2,0,0,3,0,0,95.70313,3
2024-12-14 04:15:06,3,0,0,1,0,0,70.80078,3
2024-12-14 04:15:06,3,0,0,2,0,0,70.80078,3
2024-12-14 04:15:06,3,0,0,3,0,0,70.80078,3
2024-12-14 04:15:08,1,11.96443,1,1,3.97726,0,27.83203,0
2024-12-14 04:15:08,1,11.96443,1,2,4.075195,0,27.83203,0
2024-12-14 04:15:08,1,11.96443,1,3,3.91197,0,27.83203,0
2024-12-14 04:15:08,2,0,0,1,0,0,90.82031,3
2024-12-14 04:15:08,2,0,0,2,0,0,90.82031,3
2024-12-14 04:15:08,2,0,0,3,0,0,90.82031,3
2024-12-14 04:15:08,3,0,0,1,0,0,78.61328,3
2024-12-14 04:15:08,3,0,0,2,0,0,78.61328,3
2024-12-14 04:15:08,3,0,0,3,0,0,78.61328,3
2024-12-14 04:15:16,1,11.96443,1,1,3.97726,0,27.83203,0
2024-12-14 04:15:16,1,11.96443,1,2,4.075195,0,27.83203,0
2024-12-14 04:15:16,1,11.96443,1,3,3.91197,0,27.83203,0
2024-12-14 04:15:16,2,0,0,1,0,0,98.63281,3
2024-12-14 04:15:16,2,0,0,2,0,0,98.63281,3
2024-12-14 04:15:16,2,0,0,3,0,0,98.63281,3
2024-12-14 04:15:16,3,0,0,1,0,0,69.33594,3
2024-12-14 04:15:16,3,0,0,2,0,0,69.33594,3
2024-12-14 04:15:16,3,0,0,3,0,0,69.33594,3
2024-12-14 04:15:18,1,11.9481,1,1,3.971819,0,27.34375,0
2024-12-14 04:15:18,1,11.9481,1,2,4.080636,0,27.34375,0
2024-12-14 04:15:18,1,11.9481,1,3,3.895648,0,27.34375,0
2024-12-14 04:15:18,2,0,0,1,0,0,89.84375,3
2024-12-14 04:15:18,2,0,0,2,0,0,89.84375,3
2024-12-14 04:15:18,2,0,0,3,0,0,89.84375,3
2024-12-14 04:15:18,3,0,0,1,0,0,81.05469,3
2024-12-14 04:15:18,3,0,0,2,0,0,81.05469,3
2024-12-14 04:15:18,3,0,0,3,0,0,81.05469,3
2024-12-14 04:15:19,1,11.9481,1,1,3.97726,0,27.83203,0
2024-12-14 04:15:19,1,11.9481,1,2,4.075195,0,27.83203,0
2024-12-14 04:15:19,1,11.9481,1,3,3.895648,0,27.83203,0
2024-12-14 04:15:19,2,0,0,1,0,0,83.49609,3
2024-12-14 04:15:19,2,0,0,2,0,0,83.49609,3
2024-12-14 04:15:19,2,0,0,3,0,0,83.49609,3
2024-12-14 04:15:19,3,0,0,1,0,0,79.58984,3
2024-12-14 04:15:19,3,0,0,2,0,0,79.58984,3
2024-12-14 04:15:19,3,0,0,3,0,0,79.58984,3
2024-12-14 04:15:21,1,11.98075,1,1,3.982701,0,27.34375,0
2024-12-14 04:15:21,1,11.98075,1,2,4.080637,0,27.34375,0
2024-12-14 04:15:21,1,11.98075,1,3,3.91741,0,27.34375,0
2024-12-14 04:15:21,2,0,0,1,0,0,80.56641,3
2024-12-14 04:15:21,2,0,0,2,0,0,80.56641,3
2024-12-14 04:15:21,2,0,0,3,0,0,80.56641,3
2024-12-14 04:15:21,3,0,0,1,0,0,58.10547,3
2024-12-14 04:15:21,3,0,0,2,0,0,58.10547,3
2024-12-14 04:15:21,3,0,0,3,0,0,58.10547,3
2024-12-14 04:15:23,1,11.96443,1,1,3.97726,0,27.83203,0
2024-12-14 04:15:23,1,11.96443,1,2,4.075195,0,27.83203,0
2024-12-14 04:15:23,1,11.96443,1,3,3.91197,0,27.83203,0
2024-12-14 04:15:23,2,0,0,1,0,0,84.96094,3
2024-12-14 04:15:23,2,0,0,2,0,0,84.96094,3
2024-12-14 04:15:23,2,0,0,3,0,0,84.96094,3
2024-12-14 04:15:23,3,0,0,1,0,0,47.36328,3
2024-12-14 04:15:23,3,0,0,2,0,0,47.36328,3
2024-12-14 04:15:23,3,0,0,3,0,0,47.36328,3
2024-12-14 04:15:25,1,11.98075,1,1,3.982701,0,27.83203,0
2024-12-14 04:15:25,1,11.98075,1,2,4.080637,0,27.83203,0
2024-12-14 04:15:25,1,11.98075,1,3,3.91741,0,27.83203,0
2024-12-14 04:15:25,2,0,0,1,0,0,83.00781,3
2024-12-14 04:15:25,2,0,0,2,0,0,83.00781,3
2024-12-14 04:15:25,2,0,0,3,0,0,83.00781,3
